# r   Corr
0    0.15516
1    0.0176162
2    0.00269131
3    0.00119679
4    0.000923216
5    0.000654411
6    -0.000362666
7    6.72013e-05
8    0.000141196
9    1.35206e-05
10    4.63411e-05
11    -0.000301
12    -0.000253962
13    0.00024933
14    1.2e-05
15    0.000617321
16    0.000568008
17    -6.59063e-06
18    -0.000235448
19    -0.000635387
20    -0.000300326
21    -0.00033906
22    8.65975e-05
23    0.000211622
24    7.94113e-05
25    -0.000437659
26    8.26474e-05
27    1.58388e-05
28    0.000222174
29    -0.00010934
30    0.00057396
31    0.000945182
32    0.000834674
33    0.000355197
34    0.000436947
35    5.96744e-05
36    0.000259674
37    0.000496182
38    0.000172578
39    0.000440002
40    4.13411e-05
41    0.000752895
42    0.000421743
43    0.000189499
44    -0.000136754
45    0.000583311
46    1.70818e-05
47    0.000329486
48    0.00034429
49    0.0010734
